Ticket Number,Date Created,Subject,From,From Email,Priority,Department,Type,Source,Current Status,Last Updated,Due Date,Overdue,Answered,Agent Assigned,Team Assigned,Thread Count,Attachment Count,Category,Issue Origin,Select Ticket Status Update,SLA Due Date,Breached SLA
111574,12/10/2020 9:52,12/01/2020 11:58AM ODSM Login Issue,Aurora Miller,aurora.miller@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/4/2021 17:46,7/13/2020 23:03,0,1,Jared Smith,SAP Support Team,5,1,PROD,DEVELOPMENT,Open ,12/15/2020 0:00,No
111577,12/10/2020 10:15,12/03/2020 11:37AM ODSM Issue ,Aurora Miller,aurora.miller@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/4/2021 17:42,6/19/2020 3:35,0,1,Jared Smith,SAP Support Team,5,1,PROD,DEVELOPMENT,New Ticket,12/15/2020 0:00,No
111506,9/23/2020 18:02,Create Accounting - Accounting Class Error,Kimberly Jones,kjones@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Open,12/9/2020 12:30,2/8/2020 3:32,1,0,Mark Jikkins,JDE Support Team,31,3,NON-PROD,DEVELOPMENT,Close Ticket,9/28/2020 0:00,No
111517,10/5/2020 13:03,Cannot Generate report after DB Downgrade,Aurora Miller,aurora.miller@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,10/14/2020 17:16,12/24/2019 4:59,0,1,Jared Smith,SAP Support Team,6,1,NON-PROD,PRODUCTION,New Ticket,10/8/2020 0:00,No
111495,8/23/2020 14:23,Web ADI Issue,Kimberly Jones,kjones@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,9/23/2020 18:27,12/19/2019 21:00,0,1,Jared Smith,JDE Support Team,21,2,PROD,TEST,New Ticket,8/26/2020 0:00,No
111498,8/27/2020 10:53,Error still occured in BEE Spreadsheet page,Melody Thompson,mthompson@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,9/21/2020 14:17,12/12/2019 2:10,0,1,Jared Smith,JDE Support Team,18,3,PROD,PRODUCTION,Close Ticket,9/1/2020 0:00,No
111474,7/21/2020 13:39,Oracle Web ADI: Fatal Error,Kimberly Jones,kjones@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,8/5/2020 17:49,11/28/2019 23:23,0,1,Jared Smith,JDE Support Team,13,4,NON-PROD,PRODUCTION,Close Ticket,7/24/2020 0:00,No
111469,7/13/2020 11:03,Error page in BEE spreadsheet Interface,Melody Thompson,mthompson@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,8/3/2020 12:12,10/26/2019 2:33,0,1,Jared Smith,JDE Support Team,11,5,PROD,TEST,New Ticket,7/16/2020 0:00,No
111446,6/18/2020 15:35,URL Attachment - Authority to Fill,Troy Daniels,troy.daniels@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,7/30/2020 17:03,11/21/2019 0:04,0,1,Jared Smith,JDE Support Team,5,4,PROD,PRODUCTION,New Ticket,6/23/2020 0:00,No
111417,4/29/2020 7:45,Workspace Problem after BPM version Upgrade,Willard Smith,willard.smith@mailinator.com,High,Internal Technical Department,Incident / Problem,Web,Closed,6/25/2020 16:39,10/16/2019 17:00,0,1,Jared Smith,BPM - ProcessMaker Support Team,6,4,PROD,PRODUCTION,New Ticket,5/4/2020 0:00,No
111353,12/4/2019 14:16,Can't Access My Account,Marvin Peters,mpeters@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,5/11/2020 17:18,10/15/2019 4:47,0,1,Jared Smith,SAP Support Team,79,4,PROD,TEST,New Ticket,12/9/2019 0:00,No
111320,10/8/2019 15:38,Deferred PO transactions,Reah Junes,rjunes@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,5/7/2020 13:24,10/17/2019 17:00,0,1,Jared Smith,JDE Support Team,55,9,NON-PROD,PRODUCTION,Close Ticket,10/11/2019 0:00,No
111390,2/18/2020 11:05,Expense Report Stuck At AME Approval Process/Block,Kenex Willows,kwillows@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,5/6/2020 15:46,10/3/2019 4:58,0,1,Jared Smith,JDE Support Team,24,2,NON-PROD,DEVELOPMENT,Close Ticket,2/21/2020 0:00,No
111383,2/10/2020 10:03,JDE Approval cannot be approved or transferred,Kenex Willows,kwillows@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,4/8/2020 17:09,10/7/2019 17:00,0,1,Jared Smith,JDE Support Team,17,2,PROD,PRODUCTION,Close Ticket,2/13/2020 0:00,No
111404,3/23/2020 16:08,CS 9.2 Server Issue,John Brown,jbrown@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,4/2/2020 17:22,1/18/2019 1:00,0,1,Jared Smith,SAP Support Team,6,1,PROD,DEVELOPMENT,New Ticket,3/26/2020 0:00,No
111401,3/13/2020 11:12,Application Designer in 9.0 PROD,John Brown,jbrown@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/24/2020 17:08,7/25/2019 2:42,0,1,Jared Smith,SAP Support Team,19,1,PROD,PRODUCTION,New Ticket,3/18/2020 0:00,No
111393,2/28/2020 13:48,Can't Access Test Instance,Jane Wilberts,jwilberts@mailinator.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,3/23/2020 13:06,9/23/2019 17:30,0,1,Jared Smith,JDE Support Team,29,3,PROD,PRODUCTION,New Ticket,3/4/2020 0:00,No
111378,1/27/2020 14:08,SF Error,Aurora Miller,aurora.miller@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/31/2020 16:36,8/28/2019 23:46,0,1,Jared Smith,SAP Support Team,6,5,PROD,TEST,New Ticket,1/30/2020 0:00,No
111369,1/10/2020 8:39,Slow Loading of SAP Jan 10 2020,Jasper John,jasper.john@gmail.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/27/2020 17:40,8/14/2019 2:07,0,1,Jared Smith,SAP Support Team,8,1,NON-PROD,PRODUCTION,New Ticket,1/15/2020 0:00,No
111318,10/4/2019 14:22,AME Approval Udpdates not reflecting in the DB,Reah Junes,rjunes@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/15/2020 17:18,8/20/2019 21:12,0,1,Jared Smith,JDE Support Team,24,4,PROD,TEST,Close Ticket,10/9/2019 0:00,No
111361,12/23/2019 16:59,PeopleSoft Restricted Service,John Brown,jbrown@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/8/2020 10:38,5/22/2019 3:13,0,1,Jared Smith,SAP Support Team,12,2,PROD,PRODUCTION,New Ticket,12/26/2019 0:00,No
111360,12/19/2019 9:00,Faculty Cannot Post Grade,Aurora Miller,aurora.miller@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,1/6/2020 17:29,8/19/2019 17:00,0,1,Jared Smith,SAP Support Team,8,3,NON-PROD,PRODUCTION,Close Ticket,12/24/2019 0:00,No
111358,12/11/2019 14:10,Unable to access the CS 9.2 ,John Brown,jbrown@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,12/23/2019 15:32,8/13/2019 17:00,0,1,Jared Smith,AWS Team,6,1,PROD,TEST,Close Ticket,12/16/2019 0:00,No
111351,11/28/2019 11:23,Can't Login User Account,Marvin Peters,mpeters@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,12/4/2019 17:54,7/29/2019 17:00,0,1,Jared Smith,SAP Support Team,8,1,NON-PROD,PRODUCTION,Close Ticket,12/3/2019 0:00,No
111333,10/25/2019 14:33,Integration Gateway,John Brown,jbrown@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,12/4/2019 17:51,7/23/2019 23:06,0,1,Jared Smith,SAP Support Team,15,3,NON-PROD,TEST,New Ticket,10/30/2019 0:00,No
111346,11/20/2019 12:04,JDE Prod Error Page upon login 20 Nov 2019,Julius Wright,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,11/28/2019 16:53,7/9/2019 3:56,0,1,Jared Smith,JDE Support Team,25,2,NON-PROD,DEVELOPMENT,Close Ticket,11/25/2019 0:00,No
111227,6/7/2019 14:18,Adding of subject enrollment issue ,Aurora Miller,aurora.miller@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,11/21/2019 17:54,7/10/2019 17:00,0,1,Jared Smith,SAP Support Team,32,4,NON-PROD,TEST,Close Ticket,6/12/2019 0:00,No
111334,10/25/2019 14:55,Palo Alto Update,Jane Wilberts,jwilberts@mailinator.com,High,Internal Technical Department,Incident / Problem,Web,Closed,11/6/2019 17:17,7/3/2019 22:50,0,1,Stellar Murad,Network Team,6,0,PROD,TEST,New Ticket,10/30/2019 0:00,No
111322,10/11/2019 13:42,Unable to print approved Certificate of Service,Troy Daniels,troy.daniels@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,10/21/2019 17:58,5/16/2019 2:18,0,1,Jared Smith,JDE Support Team,14,7,PROD,PRODUCTION,New Ticket,10/16/2019 0:00,No
111312,10/1/2019 10:33,Palo Alto Blocking internet of user ,Tomi Yamamoto,tyamamoto@gmail.com,High,Internal Technical Department,Incident / Problem,Web,Closed,10/21/2019 13:46,4/18/2019 5:24,0,1,Stellar Murad,Network Team,4,0,NON-PROD,PRODUCTION,New Ticket,10/4/2019 0:00,No
111321,10/9/2019 9:32,UP Custom Application - Print Receipt Button,Kenex Willows,kwillows@yahoo.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,10/18/2019 10:03,6/25/2019 1:24,0,1,Jared Smith,JDE Support Team,15,6,NON-PROD,PRODUCTION,New Ticket,10/14/2019 0:00,No
111314,10/2/2019 16:58,JDE Prod Slowdown 02-Oct-2019,Julius Wright,jwirght@outlook.com,High,SAP JDE Support Department,Incident / Problem,Web,Closed,10/9/2019 11:27,3/19/2019 20:21,0,1,Jared Smith,JDE Support Team,8,1,NON-PROD,TEST,Close Ticket,10/7/2019 0:00,No
